n r res t
9 1 0 439
10 1 1 853
11 1 0 317
12 1 0 541
13 1 0 349
14 1 0 636
15 1 1 720
16 1 0 460
17 1 0 441
18 1 0 485
19 1 1 662
20 1 0 520
21 1 1 1310
22 1 1 979
23 1 0 625
24 1 0 678
25 1 0 609
26 1 0 1267
27 1 1 913
28 1 1 807
29 1 0 730
30 1 1 1700
1 10 1 58
2 10 0 133
3 10 0 186
4 10 1 357
5 10 1 380
6 10 1 818
7 10 0 383
8 10 2 548
9 10 3 961
10 10 2 1083
11 10 2 1259
12 10 2 2449
13 10 1 1088
14 10 1 1965
15 10 2 2090
16 10 1 1613
17 10 2 2175
18 10 2 2235
19 10 4 4619
20 10 3 6001
21 10 3 7173
22 10 2 3533
23 10 2 2539
24 10 5 14963
25 10 3 4702
26 10 2 3988
27 10 3 4187
28 10 3 6758
29 10 6 17664
30 10 3 4251
1 20 1 66
2 20 1 106
3 20 1 186
4 20 2 395
5 20 1 282
6 20 2 477
7 20 1 979
8 20 2 467
9 20 2 1549
10 20 3 1576
11 20 2 910
12 20 3 3428
13 20 4 4031
14 20 3 2611
15 20 3 4652
16 20 4 5173
17 20 5 21181
18 20 5 10730
19 20 4 7759
20 20 3 3919
21 20 5 21660
22 20 5 6065
23 20 4 11938
24 20 4 19989
25 20 6 15359
26 20 5 27584
27 20 3 24308
28 20 5 27169
29 20 6 46969
30 20 5 32758
1 50 1 118
2 50 2 126
3 50 3 152
4 50 3 156
5 50 4 218
6 50 3 844
7 50 5 745
8 50 4 2012
9 50 3 3775
10 50 5 4838
11 50 4 5243
12 50 5 9509
13 50 4 9528
14 50 5 12578
15 50 4 16286
16 50 6 19557
17 50 6 56098
18 50 5 40566
19 50 4 30247
20 50 6 98600
21 50 5 30526
22 50 7 46643
23 50 6 68035
24 50 7 317433
25 50 7 89275
26 50 8 253948
27 50 5 115958
28 50 6 216171
29 50 8 612513
30 50 6 406206
1 75 1 108
2 75 2 178
3 75 1 440
4 75 3 384
5 75 3 1282
6 75 5 929
7 75 5 1915
8 75 4 3259
9 75 5 8005
10 75 7 9936
11 75 5 16061
12 75 5 11879
13 75 6 14967
14 75 4 14410
15 75 6 44795
16 75 5 31419
17 75 6 47723
18 75 7 61268
19 75 6 106167
20 75 8 260417
21 75 7 139879
22 75 9 398275
23 75 7 365445
24 75 7 444080
25 75 6 173513
26 75 6 139623
27 75 8 497300
28 75 7 1372522
29 75 7 666892
30 75 8 545482
1 100 1 86
2 100 2 213
3 100 1 413
4 100 2 664
5 100 2 1034
6 100 4 1476
7 100 5 1649
8 100 3 4229
9 100 4 3276
10 100 4 5614
11 100 5 9705
12 100 4 9174
13 100 4 11712
14 100 6 32247
15 100 6 31192
16 100 5 31720
17 100 6 41012
18 100 6 167394
19 100 5 63834
20 100 8 132297
21 100 8 254296
22 100 7 146918
23 100 5 93955
24 100 7 90783
25 100 6 47519
26 100 8 175455
27 100 7 319297
28 100 8 286095
29 100 8 441217
30 100 10 2031012
1 1 0 76
2 1 0 134
3 1 0 129
4 1 0 260
5 1 0 264
6 1 1 289
7 1 0 358
8 1 0 411
9 1 0 269
10 1 0 472
11 1 1 534
12 1 0 589
13 1 0 361
14 1 0 658
15 1 0 419
16 1 0 696
17 1 0 439
18 1 1 549
19 1 1 1130
20 1 0 518
21 1 0 864
22 1 0 578
23 1 0 1035
24 1 0 615
25 1 0 614
26 1 1 1211
27 1 0 694
28 1 1 2524
29 1 0 727
30 1 0 746
1 10 1 105
2 10 0 133
3 10 1 143
4 10 1 412
5 10 1 195
6 10 1 642
7 10 0 209
8 10 0 422
9 10 1 372
10 10 2 882
11 10 2 1219
12 10 3 1316
13 10 1 852
14 10 3 1458
15 10 2 1374
16 10 3 1654
17 10 2 2816
18 10 1 1725
19 10 4 3713
20 10 2 972
21 10 2 1920
22 10 2 2320
23 10 2 2628
24 10 5 12087
25 10 1 1918
26 10 4 7688
27 10 4 7748
28 10 5 9420
29 10 4 11498
30 10 2 3158
1 20 1 115
2 20 1 157
3 20 2 144
4 20 1 143
5 20 2 669
6 20 1 289
7 20 3 808
8 20 3 824
9 20 4 1042
10 20 2 967
11 20 4 1855
12 20 3 2245
13 20 3 806
14 20 5 7791
15 20 4 3708
16 20 3 4747
17 20 3 3891
18 20 3 5295
19 20 2 3515
20 20 4 6869
21 20 3 4335
22 20 3 8612
23 20 5 21889
24 20 6 20744
25 20 4 34493
26 20 5 27340
27 20 6 87412
28 20 4 25482
29 20 7 77742
30 20 5 25023
1 50 1 88
2 50 2 95
3 50 1 192
4 50 3 271
5 50 2 401
6 50 3 711
7 50 2 986
8 50 4 1544
9 50 4 3500
10 50 6 4034
11 50 4 3896
12 50 6 5869
13 50 3 7538
14 50 5 8731
15 50 4 11030
16 50 6 18809
17 50 5 26201
18 50 5 34521
19 50 8 39635
20 50 4 18746
21 50 6 26472
22 50 5 90042
23 50 6 125588
24 50 7 91273
25 50 6 90591
26 50 5 130875
27 50 8 179499
28 50 6 161226
29 50 6 231933
30 50 10 744477
1 75 1 115
2 75 2 175
3 75 2 226
4 75 3 247
5 75 2 651
6 75 3 1213
7 75 4 939
8 75 4 2387
9 75 4 1630
10 75 5 4916
11 75 4 4549
12 75 6 4749
13 75 6 15628
14 75 8 11541
15 75 7 38423
16 75 4 18196
17 75 5 17138
18 75 5 22893
19 75 5 41612
20 75 8 50369
21 75 7 67683
22 75 6 59433
23 75 6 63082
24 75 7 82573
25 75 7 201056
26 75 6 423539
27 75 8 345425
28 75 7 524131
29 75 7 297092
30 75 7 303009
1 100 1 88
2 100 2 163
3 100 3 211
4 100 3 435
5 100 3 640
6 100 2 1103
7 100 4 952
8 100 4 1869
9 100 4 2999
10 100 6 3064
11 100 5 4408
12 100 3 5756
13 100 5 5012
14 100 6 15449
15 100 7 19061
16 100 5 22812
17 100 6 15192
18 100 5 29534
19 100 4 23945
20 100 8 134086
